,state,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,total
0,Michoacán,"1,787","2,281","2,442","2,504","2,436","2,449","2,132","2,145","2,245","2,209","2,049","2,244","2,532","2,745","2,915","1,7872,2812,4422,5042,4362,4492,1322,1452,2452,2092,0492,2442,5322,7452,915"
1,Jalisco,"1,335","1,462","1,696","1,975","1,997","1,915","1,695","1,756","1,896","1,884","1,755","1,960","2,219","2,521","2,797","1,3351,4621,6961,9751,9971,9151,6951,7561,8961,8841,7551,9602,2192,5212,797"
2,Guanajuato,"1,407","1,728","1,905","2,311","2,389","2,318","1,945","1,981","2,156","2,138","2,008","2,096","2,264","2,412","2,559","1,4071,7281,9052,3112,3892,3181,9451,9812,1562,1382,0082,0962,2642,4122,559"
3,Estado de México,"1,106","1,446","1,765","2,079","2,167","2,067","1,701","1,638","1,658","1,564","1,433","1,462","1,561","1,607","1,680","1,1061,4461,7652,0792,1672,0671,7011,6381,6581,5641,4331,4621,5611,6071,680"
4,Puebla,854,"1,009","1,182","1,483","1,618","1,616","1,375","1,371","1,470","1,403","1,335","1,339","1,371","1,460","1,558","8541,0091,1821,4831,6181,6161,3751,3711,4701,4031,3351,3391,3711,4601,558"
5,Oaxaca,787,949,"1,080","1,360","1,517","1,522","1,298","1,297","1,427","1,366","1,151","1,215","1,289","1,420","1,464","7879491,0801,3601,5171,5221,2981,2971,4271,3661,1511,2151,2891,4201,464"
6,Guerrero,877,"1,018","1,175","1,456","1,490","1,435","1,200","1,201","1,262","1,231","1,205","1,203","1,278","1,370","1,421","8771,0181,1751,4561,4901,4351,2001,2011,2621,2311,2051,2031,2781,3701,421"
7,Ciudad de México,815,922,"1,313","1,490","1,059","1,084",966,999,"1,152","1,014","1,395","1,514","1,090","1,409","1,311","8159221,3131,4901,0591,0849669991,1521,0141,3951,5141,0901,4091,311"
8,Veracruz,999,"1,168","1,373","1,681","1,776","1,618","1,296","1,237","1,273","1,176","1,028","1,047","1,086","1,124","1,194","9991,1681,3731,6811,7761,6181,2961,2371,2731,1761,0281,0471,0861,1241,194"
9,San Luis Potosí,404,469,562,714,778,761,627,629,701,739,707,770,849,961,"1,044","4044695627147787616276297017397077708499611,044"
10,Zacatecas,402,485,540,668,687,682,573,582,625,654,634,700,767,878,949,402485540668687682573582625654634700767878949
11,Nuevo León,189,296,284,343,327,324,293,284,309,340,597,614,644,656,829,189296284343327324293284309340597614644656829
12,Hidalgo,608,726,815,983,"1,092",961,752,716,763,721,630,720,726,764,785,"6087268159831,092961752716763721630720726764785"
13,Chihuahua,237,279,389,474,460,475,408,398,419,467,519,554,644,705,768,237279389474460475408398419467519554644705768
14,Baja California,142,165,257,302,335,334,322,348,397,465,620,620,681,698,754,142165257302335334322348397465620620681698754
15,Tamaulipas,234,284,425,497,517,501,415,402,445,485,709,833,665,654,691,234284425497517501415402445485709833665654691
16,Sinaloa,321,374,451,503,523,488,457,470,512,501,503,517,533,623,689,321374451503523488457470512501503517533623689
17,Durango,262,330,384,428,453,442,375,379,417,431,459,491,534,604,671,262330384428453442375379417431459491534604671
18,Chiapas,435,588,765,941,921,811,610,574,595,573,502,502,594,577,621,435588765941921811610574595573502502594577621
19,Morelos,373,433,505,588,635,623,548,555,587,561,515,528,551,582,616,373433505588635623548555587561515528551582616
20,Querétaro,283,353,406,484,475,436,360,355,383,379,412,398,460,525,567,283353406484475436360355383379412398460525567
21,Nayarit,228,262,303,348,375,376,342,337,356,340,321,362,400,437,471,228262303348375376342337356340321362400437471
22,Coahuila,140,180,241,275,293,278,234,234,247,284,327,392,387,420,471,140180241275293278234234247284327392387420471
23,Sonora,128,170,295,326,332,311,279,292,327,327,341,337,376,413,433,128170295326332311279292327327341337376413433
24,Aguascalientes,260,315,323,379,373,332,282,294,306,333,306,324,350,396,410,260315323379373332282294306333306324350396410
25,Colima,104,134,165,183,200,185,165,172,184,180,183,217,219,252,285,104134165183200185165172184180183217219252285
26,Tlaxcala,149,185,221,271,303,305,259,259,275,253,217,219,225,233,237,149185221271303305259259275253217219225233237
27,Yucatán,60,76,94,122,137,136,110,113,118,119,125,129,135,143,155,607694122137136110113118119125129135143155
28,Tabasco,86,105,156,188,183,156,114,111,112,111,117,131,130,154,154,86105156188183156114111112111117131130154154
29,Quintana Roo,53,67,85,100,99,97,86,87,92,93,101,105,117,130,140,536785100999786879293101105117130140
30,Campeche,52,53,66,82,80,73,56,55,58,56,55,56,56,65,71,525366828073565558565556566571
31,Baja California Sur,19,18,24,29,32,35,32,34,37,41,46,47,51,55,63,191824293235323437414647515563
32,Total,"15,139","18,332","21,688","25,567","26,059","25,145","21,306","21,304","22,803","22,438","22,303","23,647","24,785","26,993","28,771","15,13918,33221,68825,56726,05925,14521,30621,30422,80322,43822,30323,64724,78526,99328,771"
