,state,amount_2016,amount_2015,amount_2014,amount_2013,Total
0,Alabama,199.0,160.0,142.0,185.5,686.5
1,Alaska,2.0,8.0,2.0,1.5,13.5
2,Arizona,273.0,337.0,212.0,179.0,1001.0
3,Arkansas,193.0,256.0,214.0,176.0,839.0
4,California,15635.0,22918.0,19869.0,20797.5,79219.5
5,Colorado,522.0,575.0,505.0,545.0,2147.0
6,Connecticut,1295.0,1969.0,1484.0,676.0,5424.0
7,Delaware,284.0,404.0,338.0,319.0,1345.0
8,District of Columbia,63.0,103.0,70.0,88.5,324.5
9,Florida,885.0,1039.0,881.0,902.0,3707.0
10,Georgia,698.0,991.0,681.0,715.0,3085.0
11,Hawaii,14.0,16.0,12.0,6.0,48.0
12,Idaho,79.0,76.0,80.0,57.0,292.0
13,Illinois,3286.0,4063.0,4770.0,3506.0,15625.0
14,Indiana,1372.0,1850.0,1610.0,1108.5,5940.5
15,Iowa,128.0,145.0,111.0,115.0,499.0
16,Kansas,123.0,156.0,118.0,137.5,534.5
17,Kentucky,185.0,198.0,157.0,131.0,671.0
18,Maine,6.0,2.0,5.0,3.5,16.5
19,Maryland,517.0,655.0,726.0,581.5,2479.5
20,Massachusetts,118.0,99.0,65.0,59.0,341.0
21,Michigan,333.0,360.0,220.0,244.5,1157.5
22,Minnesota,969.0,1143.0,979.0,1111.0,4202.0
23,Mississippi,86.0,119.0,68.0,84.5,357.5
24,Missouri,157.0,146.0,98.0,126.0,527.0
25,Montana,2.0,4.0,3.0,1.0,10.0
26,Nebraska,104.0,107.0,116.0,122.5,449.5
27,Nevada,1489.0,1672.0,1563.0,1570.5,6294.5
28,New Hampshire,5.0,1.0,3.0,3.5,12.5
29,New Jersey,5645.0,7237.0,6523.0,5120.0,24525.0
30,New Mexico,153.0,118.0,82.0,99.5,452.5
31,New York,12262.0,17235.0,15297.0,12453.0,57247.0
32,North Carolina,831.0,1766.0,1352.0,1159.5,5108.5
33,North Dakota,4.0,5.0,5.0,2.0,16.0
34,Ohio,205.0,283.0,200.0,137.5,825.5
35,Oklahoma,140.0,247.0,188.0,127.5,702.5
36,Oregon,501.0,759.0,683.0,463.5,2406.5
37,Pennsylvania,1409.0,1545.0,1387.0,1230.0,5571.0
38,Rhode Island,25.0,28.0,18.0,19.5,90.5
39,South Carolina,472.0,523.0,403.0,356.5,1754.5
40,South Dakota,13.0,16.0,10.0,13.0,52.0
41,Tennessee,323.0,446.0,292.0,249.0,1310.0
42,Texas,3058.0,3901.0,3538.0,3256.5,13753.5
43,Utah,500.0,529.0,363.0,512.5,1904.5
44,Vermont,8.0,13.0,15.0,7.5,43.5
45,Virginia,397.0,535.0,360.0,331.0,1623.0
46,Washington,533.0,672.0,403.0,345.5,1953.5
47,West Virginia,5.0,10.0,10.0,4.5,29.5
48,Wisconsin,552.0,991.0,676.0,439.5,2658.5
49,Wyoming,31.0,53.0,26.0,26.5,136.5
50,,56089.0,76484.0,66933.0,59907.5,259413.5
